,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,id,category,label_h,label_e,label_x,label_a,label_c,label_o
20,-92.1661894507662,-97.13512278402833,-100.02163098316926,-100.23723821239328,-119.50540370817242,-92.85104117164019,-96.58640275485885,-99.93609268150622,-101.27623618094704,-119.19405391136809,-91.29598256365443,-95.95075414983276,-97.83571103748385,-98.77453206783086,-119.48979909985574,-92.10201814831548,-95.95850140492779,-98.33373605981183,-99.40386235458283,-120.75476527114672,-91.48677017323175,-96.4958773864858,-98.7506921306445,-99.22717369930086,-116.6470529886547,-95.66791705245465,-99.22593600527804,-101.29297660897106,-102.26083147879928,-119.81253255724906,-90.64471539807812,-94.52671447990525,-95.72247892423924,-100.6965394307347,-118.53737839459116,-91.90558351082518,-94.58250419845632,-96.73739078584748,-102.54137392293771,-120.72815681017735,2,2,1.0,0.0,0.0,0.0,0.0,0.0
21,-73.50272064787735,-90.18425760399046,-98.2115953902664,-99.53026305451851,-117.07624187984912,-75.06812003671286,-91.10637245983504,-98.73627445029634,-101.40978467117391,-117.83562123314397,-79.27718207821249,-91.46821269516226,-96.35134553186447,-98.8733189512447,-117.32210060241403,-81.95364738361579,-93.21486139798614,-98.26139414407336,-100.43106485705259,-119.92930394835525,-76.54269679571269,-92.02631808605051,-97.25217607285651,-98.19695227667744,-115.72199283191581,-83.77516306481972,-96.36967874111701,-100.74525112752306,-101.20321344599023,-117.2216943977147,-85.12530794859067,-92.1436188240525,-94.82870797650067,-101.3068787763041,-116.76164192918858,-86.38287576450843,-94.5491702069714,-95.59611659690194,-103.2036991816669,-118.11447851094755,2,2,1.0,0.0,0.0,0.0,0.0,0.0
22,-91.10083140539416,-95.16995914492524,-97.02276251077642,-100.14054967946225,-118.16269735774485,-90.62411809760144,-95.93856556634262,-98.13195556464841,-101.68296818798242,-118.9110325821607,-89.17703382575952,-93.56933627240346,-96.00585650103021,-98.9218277359565,-116.49177731543728,-89.18369741901745,-95.5534578394253,-96.8461092152092,-100.3021942206896,-120.69883636046684,-90.51255443877568,-94.45825232365397,-96.82594752315411,-99.55962511410428,-118.57782832637068,-90.21414758832714,-97.22266934199331,-99.37751286685106,-102.01235372198013,-120.77499551306221,-88.0968744624131,-93.15308890837639,-94.80709224719577,-101.17442672022756,-115.80664940070716,-88.4150747867679,-94.38936396024901,-96.34493322168555,-102.53747261192053,-117.81821501692811,2,2,1.0,0.0,0.0,0.0,0.0,0.0
23,-79.39716723085272,-89.43413087094102,-96.54245592944704,-100.42830697906203,-115.8880829782177,-79.25944440065402,-90.06845146733619,-97.63376679495691,-102.45337919297528,-116.61221018701995,-85.89911959171707,-92.33618362557797,-95.89378702489608,-96.96896702929266,-118.14102203600329,-86.41591651138654,-93.46609067192531,-97.3663525343867,-99.84026948395774,-118.8732310288674,-84.20266859541081,-92.11744804018117,-95.67459134571715,-96.3398960048204,-112.64997755467351,-86.55842731949983,-95.45903325680348,-100.2076571300944,-100.3828798205177,-118.73251696477516,-89.55743852305774,-92.07323745963788,-94.05210630798848,-100.59792170443508,-116.59189419502346,-89.82496510854398,-92.68137743829965,-94.46576210676665,-103.50483479322381,-119.07899670151613,2,2,1.0,0.0,0.0,0.0,0.0,0.0
24,-77.60128416361016,-86.00390867745135,-96.05942472258663,-101.29609560440022,-117.56752277376549,-77.0907785333694,-86.4963859540209,-97.04678309050826,-102.60911740364334,-117.29441587410464,-84.3615650225353,-90.77908574568967,-97.08436291627663,-98.49837114832883,-117.5461547341218,-84.15931090674053,-90.748015911821,-96.98586151442021,-100.53486767400503,-119.97431408837139,-82.68961520288195,-89.80450730256084,-96.88212241690279,-98.29715763703288,-115.17690609032009,-82.75031548815852,-91.92280162929833,-99.5893216412398,-102.31215265857526,-119.27483316585244,-89.93496877521751,-92.22764509097509,-94.7425243723068,-99.32266321919089,-115.54188647850141,-91.92114116846376,-93.42522439742339,-96.05768391155493,-103.66802870606853,-118.78397561267724,2,2,1.0,0.0,0.0,0.0,0.0,0.0
25,-73.96645632902815,-87.58262552451477,-98.29121404084354,-98.47654381851984,-116.16855153015797,-73.74971946074366,-88.32133669400619,-97.96838475782747,-100.08798566420445,-116.36683923496139,-80.9228617448725,-92.4064455079821,-97.18453121568012,-96.45018949005689,-119.12941429575527,-81.3370825223516,-93.94346879132797,-98.37506353474566,-99.25452663139862,-120.12267212436777,-79.17563633050322,-92.20086919165225,-97.36369668388996,-99.02718995156924,-115.07571861485656,-81.41444566205892,-95.04518279756758,-99.6937805684343,-101.95062310213034,-118.0225141581615,-87.7008250890828,-93.07278978769106,-95.60470449920389,-101.11595741050462,-115.88868831272266,-87.8043969089801,-93.95176300465911,-97.10755771989272,-103.6205144837654,-120.19915026218311,2,5,1.0,0.0,0.0,0.0,0.0,0.0
26,-74.31130139654681,-91.73639813947644,-97.39693188152856,-98.81904006063874,-116.91775702431167,-75.21010311532315,-92.58535882581369,-97.86318893486298,-98.85187048560907,-116.07937356240514,-79.79114108967983,-92.64117165690925,-96.19122526707208,-97.37495612300812,-119.92389055591559,-82.37466119750273,-94.50473774792307,-96.83172725034888,-96.3241242503368,-120.3452290181756,-76.33469726920882,-92.24821902350591,-97.7198249365331,-97.30357549880804,-116.41721783698308,-83.18091342296997,-96.51726568313006,-99.20098858907815,-99.02228692234692,-119.70494848045684,-84.99186735076812,-92.39564805332067,-95.05930901874015,-99.35906318947515,-118.50844829873559,-86.84855212372841,-92.89531572437406,-95.41003737150598,-102.17535514318341,-120.09539765958804,2,5,1.0,0.0,0.0,0.0,0.0,0.0
27,-76.73791534634611,-93.87198751062294,-98.30742400634541,-101.09999556531886,-117.32111226998884,-76.57313362681651,-94.20310179614056,-99.05420973091304,-102.27384335680718,-117.73483100422915,-84.32192587699538,-93.50472696268719,-96.74497605690033,-99.2188744028546,-116.56055612073911,-84.14709945373609,-94.96041786187739,-98.46482716900597,-101.35262877777348,-118.17908257903753,-82.85408134502688,-94.35045442389752,-97.22142741254987,-98.78939902400445,-115.49009404000886,-83.82882619554165,-97.06719715914772,-100.79655870958754,-102.24290058133364,-118.98903277937956,-89.28514307079182,-92.29774187987358,-96.36869211068739,-99.60587465596123,-115.2544803484075,-90.09399256455222,-93.54497124858852,-96.15721215446831,-102.44238970901185,-116.5232094561665,2,5,1.0,0.0,0.0,0.0,0.0,0.0
28,-75.27061916034106,-93.20891305252863,-99.7093046312182,-102.38748429435574,-118.76211955017206,-75.17458353605643,-94.34862765971845,-99.67257172821151,-102.77076965178118,-120.53705001206512,-81.69269546498633,-93.23676772038299,-97.13390790801873,-99.28008428844495,-120.65893984786385,-82.60010848652516,-94.55182826410453,-98.32631187896939,-101.47079834924135,-120.53238200884529,-78.4045166517674,-91.78139759189136,-98.43331944028229,-98.79925717885817,-117.20755747907947,-80.28205208478627,-95.71597267101234,-101.06798683493159,-103.77543103156938,-120.94347174293037,-87.65246889224952,-92.70871148284647,-95.65266213957634,-100.4526616117247,-116.27644057813056,-89.41976676489551,-92.59363109593023,-95.64931256985177,-103.4682334419395,-118.88064826073216,2,5,1.0,0.0,0.0,0.0,0.0,0.0
29,-91.70197052302355,-93.88187934474178,-95.97320238519504,-101.29807972599167,-117.46497142590897,-92.24146759219387,-94.31908034965105,-96.6019976412367,-101.79808277340996,-118.47908561967998,-90.60810498781564,-92.25561610448204,-94.5024236119498,-99.60477622312375,-117.2954941904533,-90.22889329071239,-93.21929785516977,-94.74218232176342,-99.7989727651484,-118.6336552120985,-91.95956344234341,-94.30798928655469,-96.07050055421254,-99.42945461899244,-116.6335028906113,-93.51098009973612,-95.56936182873308,-97.78328323908423,-99.9916200936557,-118.6322054498533,-90.28796817401275,-92.7959670150348,-95.18853534931358,-102.72330481502942,-115.06650970941543,-90.67255957990045,-93.77529469674943,-93.94625013524688,-102.09369873763106,-116.96907117044688,2,5,1.0,0.0,0.0,0.0,0.0,0.0
30,-77.8796559609495,-93.36369065638202,-97.08486355411515,-99.82769508762475,-115.74425604860284,-78.14043116987887,-93.60509622127529,-98.46077256512068,-101.39537243221086,-116.72765819978984,-85.12452026560078,-92.66746786466123,-95.83838646138656,-96.35190997826855,-117.50847296200288,-85.96480652205591,-92.89786931948079,-98.23672612662982,-98.2044372152865,-118.54957152145505,-82.41352134068008,-94.96650622862472,-96.77517256577772,-96.97152138553649,-116.81580302727178,-86.43697295570621,-96.86877498372432,-100.3220435590474,-100.529280211194,-117.43477572931698,-90.30060150365371,-91.19461753409054,-94.2534813154107,-99.31680781342297,-116.22560311025023,-91.8749591915163,-91.355314069489,-95.52244522022762,-101.24798844157914,-117.16413277571294,2,2,1.0,0.0,0.0,0.0,0.0,0.0
31,-80.21007129467421,-91.21685246106884,-93.75925286195809,-101.77875816239424,-118.83766061503282,-80.09205312066035,-91.5426274245533,-94.18390849988158,-104.76352127482956,-118.43167998630086,-86.82594756565429,-90.82063942929926,-91.50561102237475,-98.44592777480374,-118.68759911597323,-87.1382778000435,-91.70568876332345,-92.31404724160123,-102.16713087706823,-119.31021261014763,-84.42102291256813,-91.98996633093728,-93.93749926140447,-99.31309719605997,-116.88730649556109,-87.83738912815393,-93.98753047784047,-95.3742619982822,-102.0651628605644,-120.77289475951054,-90.22673672695265,-91.69427625319351,-91.35966993332744,-100.69055579727885,-115.2535948992602,-92.27925951803448,-93.34383958730186,-93.95114271658852,-103.2575796251393,-118.6920255246102,2,2,1.0,0.0,0.0,0.0,0.0,0.0
32,-89.87065513705565,-95.62416524083164,-97.5737717274337,-103.71112645278949,-118.56877695697561,-90.27006216912511,-95.38727802817496,-97.90880635594604,-106.85478112879893,-117.85014933285765,-90.17958290646041,-93.31804053366557,-96.34850597947946,-99.63004692172973,-119.18118799951188,-91.1818115003041,-94.15684625175898,-96.73308297921619,-102.14539707876186,-118.98086538756738,-91.38268286279043,-94.21104973478946,-97.62317359067606,-102.18356648549045,-116.7344530370672,-93.05374324328076,-96.40705835834483,-98.88702370859963,-105.06852572884554,-118.25746212110785,-90.63641069983066,-91.42246703836972,-95.02840147987975,-100.69521762375086,-116.85904018631143,-91.83143132188987,-93.6262289091932,-97.08505644408856,-104.23605934868453,-117.29207245649673,2,2,1.0,0.0,0.0,0.0,0.0,0.0
